Node.ID,sp.ID,stageID,Stage,Sp.stage,Name.Sp.stage,Presence.code,Type,Organismal.Group,Working.Group,WorkingName,Phylum,Class,Order,Family,Genus,Specific.epithet,Sp.name,Resolution,Habitat_Site,Consumer.Strategy,Consumer.Type,Mobility,Life.Cycle,Confidence.in.Node,Justification.Code,thermal.province,Localities,Ref.ID,Northern.Eastern.Pacific.Range.Limit,Southern.Eastern.PacificRange.Limit,Additional.Localities,Synonomy,Fishbase.OR.WoRMS.SearchTerms,biosis.diet.search.terms,NHM.Search.Terms,Google.Scholar.PS.Search.Terms,biosis.SearchTerms,BIOSIS.PS.records,NHM.records,FishPest,Biosis.host.only.terms,Biosis.host.only.records,NHM.host.count
11,11,1,Adult,11.1,Egretta.thula.11.1,L,free.living,Bird,Bird,Snowy Egret,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,thula,Egretta.thula,Species,Transient,Predator,Predator,Mobile,1,3,3; 5; 7,both,"Santa Barbara Channel, CA, USA",221; 500; 1070,"OR, USA",Panama,South America,none,Egretta thula,,Egretta thula,,(Egretta SAME thula SAME parasit*),18,43,NA,(Egretta SAME thula),309,NA
12,12,1,Adult,12.1,Gavia.immer.12.1,L,free.living,Bird,Bird,Common Loon,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,immer,Gavia.immer,Species,Transient,Predator,Predator,Mobile,1,3,3; 5; 7,both,"Santa Barbara Channel, CA, USA",1070; 221; 54,"AK, USA","Southern Baja California, Baja California, Mexico",,none,Gavia immer,,Gavia immer,,(Gavia SAME immer SAME parasit*),20,84,NA,,,NA
13,13,1,Adult,13.1,Larus.californicus.13.1,L,free.living,Bird,Bird,California Gull,Chordata,Aves,Charadriiformes,Laridae,Larus,californicus,Larus.californicus,Species,Transient,Predator,Predator,Mobile,1,2,3; 5; 7,both,"Santa Barbara Channel, CA, USA",1070; 221; 54,"Western Canada, Canada",Mexico,,none,Larus californicus,,Larus californicus,,Larus SAME californicus SAME parasit*,22,9,NA,(Larus SAME californicus),199,NA
14,14,1,Adult,14.1,Larus.canus.14.1,L,free.living,Bird,Bird,Mew Gull,Chordata,Aves,Charadriiformes,Laridae,Larus,canus,Larus.canus,Species,Transient,Omnivore,Predator,Mobile,1,2,3; 5; 7,cold,"Channel Islands, CA, USA",1070; 54,Cosmopolitan,Cosmopolitan,,none,Larus canus,,Larus canus,,,64,111,NA,(Larus SAME canus),509,NA
16,16,1,Adult,16.1,Larus.heermanni.16.1,L,free.living,Bird,Bird,Heermann's Gull,Chordata,Aves,Charadriiformes,Laridae,Larus,heermanni,Larus.heermanni,Species,Transient,Predator,Predator,Mobile,1,2,3; 5; 7,both,"Channel Islands, CA, USA",1070; 1071; 54,"Southwestern British Columbia, British Columbia, Canada","Gulf of California, Mexico",,none,Larus heermanni,,Larus heermanni,"""Larus heermanni"" AND parasit*",Larus SAME heermanni SAME parasit*,0,0,NA,(Larus SAME heermanni),59,NA
17,17,1,Adult,17.1,Melanitta.perspicillata.17.1,L,free.living,Bird,Bird,Surf Scoter,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Melanitta.perspicillata,Species,Transient,Predator,Predator,Mobile,1,3,3; 5; 7,both,"Santa Barbara Channel, CA, USA",1070; 221; 510,"Aleutian Islands, AK, USA","Baja California, Mexico",,none,melanitta perspicillata,,melanitta perspicillata,"""melanitta perspicillata"" SAME parasit*; ""melanitta perspicillata"" AND parasit*",(melanitta SAME perspicillata SAME parasit*)_,7,22,NA,(melanitta SAME perspicillata),152,NA
18,18,1,Adult,18.1,Nycticorax.nycticorax.18.1,L,free.living,Bird,Bird,black crowned night heron,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Nycticorax.nycticorax,Species,Transient,Predator,Predator,Mobile,1,3,7,both,"Santa Barbara, CA, USA",221,Cosmopolitan,Cosmopolitan,,none,Nycticorax nycticorax ,,Nycticorax nycticorax ,,(Nycticorax SAME nycticorax SAME parasit*),49,109,NA,(Nycticorax SAME nycticorax),840,NA
19,19,1,Adult,19.1,Pelecanus.occidentalis.19.1,L,free.living,Bird,Bird,Brown Pelican,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,Pelecanus.occidentalis,Species,Transient,Predator,Predator,Mobile,1,1,1; 3,both,"Southern California, CA, USA",1070,Cosmopolitan,Cosmopolitan,,none,Pelecanus occidentalis,,Pelecanus occidentalis,"""Pelecanus occidentalis"" SAME parasit*",(Pelecanus SAME occidentalis SAME parasit*)_,24,72,NA,(Pelecanus SAME occidentalis,155,NA
20,20,1,Adult,20.1,Phalacrocorax.penicillatus.20.1,L,free.living,Bird,Bird,Brandt's Cormorant,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,penicillatus,Phalacrocorax.penicillatus,Species,Transient,Predator,Predator,Mobile,1,1,1; 3,both,North Pacific,1070; 54; 435; 1072,"Southern Alaska, AK, USA","Sinaloa, Mexico",,none,Phalacrocorax penicillatus,,Phalacrocorax penicillatus,"""Phalacrocorax penicillatus"" SAME parasit*",Phalacrocorax SAME penicillatus SAME parasit*,0,0,NA,(Phalacrocorax SAME penicillatus),30,NA
21,21,1,Adult,21.1,Phalacrocorax.auritus.21.1,L,free.living,Bird,Bird,Double crested cormorant,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,auritus,Phalacrocorax.auritus,Species,Transient,Predator,Predator,Mobile,1,1,1; 3,both,"Santa Barbara Channel, CA, USA",1070,"Aleutian Islands, AK, USA",Mexico,,none,Phalacrocorax auritus,,Phalacrocorax auritus,"""Phalacrocorax auritus"" SAME parasit",(Phalacrocorax SAME auritus SAME parasit*),37,52,NA,(Phalacrocorax SAME auritus),532,NA
22,22,1,Adult,22.1,Phalacrocorax.pelagicus.22.1,L,free.living,Bird,Bird,Pelagic cormorant,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,pelagicus,Phalacrocorax.pelagicus,Species,Transient,Predator,Predator,Mobile,1,2,3; 5; 7,both,North Pacific,1070,"AK, USA","Baja California, Mexico",,none,Phalacrocorax_pelagicus,,Phalacrocorax_pelagicus,"""Phalacrocorax_pelagicus"" SAME parasit*",Phalacrocorax SAME pelagicus SAME parasit*,0,8,NA,(Phalacrocorax SAME pelagicus)_,26,NA
23,23,1,Adult,23.1,Sterna.caspia.23.1,L,free.living,Bird,Bird,Caspian tern,Chordata,Aves,Charadriiformes,Sternidae,Sterna,caspia,Sterna.caspia,Species,Transient,Predator,Predator,Mobile,1,2,3; 5; 7,both,"Santa Barbara Channel, CA, USA",1070; 221,"AK, USA","Central California, CA, USA",,Hydroprogne_caspia (accepted),"Sterna caspia, Hydroprogne_caspia",,"Sterna caspia, Hydroprogne_caspia","""Hydroprogne_caspia"" SAME parasit*, ""Sterna_caspia"" SAME parasit*","(Sterna SAME caspia SAME parasit*), (Hydroprogne SAME caspia SAME parasit*) ",6,29,NA,"(Sterna SAME caspia), (Hydroprogne SAME caspia) ",139,NA
24,24,1,Adult,24.1,Sterna.elegans.24.1,L,free.living,Bird,Bird,Elegant tern,Chordata,Aves,Charadriiformes,Sternidae,Sterna,elegans,Sterna.elegans,Species,Transient,Predator,Predator,Mobile,1,2,3; 5; 7,warm,"CA, USA",1070; 419; 221,"OR, USA",Chile,,Thalasseus elegans (accepted),Sterna elegans,,"Thalasseus elegans, Sterna elegans","""Sterna elegans"" SAME parasit*, ""Thalasseus elegans"" SAME parasit*","Sterna SAME elegans SAME parasit*, Thalasseus SAME elegans SAME parasit*",0,0,NA,"(Thalasseus SAME elegans), (sterna SAME elegans)",20,NA
25,25,1,Adult,25.1,Thalasseus.maximus.25.1,L,free.living,Bird,Bird,Royal tern,Chordata,Aves,Charadriiformes,Sternidae,Thalasseus,maximus,Thalasseus.maximus,Species,Transient,Predator,Predator,Mobile,1,2,3,Warm,"CA, USA",1070; 221,"Central California, CA, USA",South America ,,"Sterna maxima, Thalasseus maxima ",Thalasseus maximus,,"Thalasseus maximus, Sterna maxima, Thalasseus maxima ","""Thalasseus maximus"" SAME parasit*, ""Thalasseus maxima"" SAME parasit*, ""sterna maxima"" SAME parasit*","(Sterna SAME maxima SAME parasit*), (Thalasseus SAME maxima SAME parasit*), (Thalasseus SAME maximus SAME parasit*) ",6,21,NA,,,NA
